"Notes_RegSheet","n"
"X) water softener and reverse osmosis.
CC) client thinks well may be 30 ft, but not sure, so put down ""not sure"" in database.",1
"X)Iron",1
"X)Reverse Osmosis",1
"Y) ""water softener for other household uses"" written beside checked ""No"" box; CC) ""Near to S Fork Musselshell River"" written at top of box",1
"Y) Client wrote ""this is spring water"" next to checkboxes.
BB) Wrote ""Spring"" above More than 30 years checkbox.",1
"Y) Client wrote ""we do not drink it"" next to the checkboxes.
FF) Client wrote ""8-4-2019"", probably the last time the septic was pumped.",1
"Y) Currently Treat Drinking Water: ""Britta"" and ""My wife drinks out of the tap."" written in margins next to checked ""Yes"" box",1
"Y) CurrentlyTreatDrinkingWater: ""We use bottled water for drinking"" written in box",1
"Y) CurrentlyTreatDrinkingWater: ""sometime"" written in margin, ""Yes"" and ""No"" boxes both checked",1
"Y) CurrentlyTreatDrinkingWater: ""water softener / RO unit"" written beside checked ""yes"" box",1
"Y) CurrentlyTreatDrinkingWater: wrote ""we don't drink it!""",1
"Y) Drink bottled water",1
"Y) Just bought house",1
"Y) Just installed pump
FF) Just installed",1
"Y) Note: filtered pitcherDD) Note: Renters, not ownersFF) Note: Renters",1
"Y) Note: under sink RO for drinking",1
"Y) Note: well is currently not in use yet",1
"Y) Noted: Filter only",1
"Y) Noted: N/A",1
"Y) Noted: Santized 6/21",1
"Y) We use ""life source"" system",1
"Z) Noted: Upon purchase",1
"Z) Selected Multiple: No, Not Sure
BB) Noted: Jun",1
"Z) TreatedWith: ""Particulate"" box also checked",1
"Z) WaterQualityTestedPreviously: ""ONLY for COLIFORM + Bacteria (e-coli)"" written next to checked ""Yes"" box",1
"Z) not sure, new landowner",1
"Z) water quality previously tested in Summer 2010.
CC) ""sandpoint"" written above blank.",1
"Zipcode was not included in physical address. Next to other on predominant land use they wrote Leased from Bureau of Reclamation, Recreation Property.",1
"additional email provided as cald@itstriangle.com
livestock number is 250- seasonally
30 ft well depth",1
"additional email provided sugarfarmbabe@hotmail.com; township 12N section 16 range S1E",1
"additional phone number written as home 322-9056
livestock number is 3 horses
well depth 65 ft",1
"address of well just ""dawson county"" with zip code; depth 160 ft",1
"address of well written as Rockvale Trailer park and nothing else; well depth 30 ft",1
"address of well written as Rockvale; sample treated with has other checked and chlorine written; well depth 1625 ft",1
"age of home not checked and don't know written",1
"age of home nothing checked and not sure written
30 ft depth of well",1
"all questions including ""well"" are crossed out and ""creek"" written; livestock number written as none currently; depth of well  and familiarity of well function written as N/A creek",1
"all questions including ""well"" are crossed out and ""spring"" written; livestock number written as none currently; depth of well has N/A written",1
"also marked NO for inactive wells",1
"also treated with particulate, carbon, and citrus",1
"also treated with reverse osmosis and carbon",1
"and water softener",1
"approx 150 ft well depth",1
"autofill had different county than entered on sheet (changed to what participant filled out)",1
"bacteria retest",1
"bath 2; 70 ft well depth",1
"both sub-urban and rural checked; 120 ft well depth",1
"brand new house under construction",1
"cant read email address very well
P) both 250-1,000 acres and more than 1,000 acres selected on the registration form.",1
"city water;",1
"coordinate check not complete
Last water test was in 2018",1
"coordinates provided in physical address of well section, no physical address provided",1
"copy of dvd checked yes ""if free"" well depth 50-75 ft",1
"county Discrepency",1
"county not entered and X'd off, unsure what this means, krs entered county; well depth 200 ft; septic ever pumped no data and brand new written",1
"county not listed on reg sheet, krs entered
sample treated question not checked but filter written
128 ft well depth",1
"county not listed on reg sheet, krs entered
treated with checked other and 2 filter written in blank; 70 ft well depth",1
"county not on reg sheet but in EDD; land use both residential and livestock; livestock number written as up to 6 head
treated with both water softener and carbon selected
montana well test program previously checked yes and 2000? Written
24 ft well depth",1
"county not on reg sheet, krs entered",1
"county not on reg sheet, krs entered; age of home more than 30 years checked and 36 writtenl well depth 95 ft",1
"county not on reg sheet, krs entered; well depth 23 ft",2
"county not on reg sheet, looked up and entered; 110 ft well depth",1
"county not on reg sheet, looked up and entered; 150ft well depth",1
"county well is in has ""not a well"" written in, krs entered county
N/A written for property size and currently treat",1
"county well is in has county and ""(spring)"" written in
well depth checked source is not a well and spring is written",1
"county written as Still Water in the registration form, put in as Gallatin on the database, left Gallatin in the database",1
"currently treat checked yes and RO system written; 30 ft well depth",1
"currently treat drinking water checked yes and water softener written",1
"depth ""30ish ft""",1
"depth ""80-100ft"" 90ft.",1
"depth 100ft",1
"depth 110ft",1
"depth 120ft",1
"depth 140ft",2
"depth 15 ft",1
"depth 150ft",1
"depth 160ft.",1
"depth 180ft",3
"depth 200ft",2
"depth 200ft; note ""septic not installed'",1
"depth 237ft;",1
"depth 250ft.",1
"depth 25ft.",1
"depth 275ft; retest",1
"depth 280ft",3
"depth 280ft; township 2N section 23 range 26E",1
"depth 282ft",1
"depth 400ft; lots of question marks on reg sheet, participant seemed confused by certain questions",1
"depth 40ft",1
"depth 42 ft.;",1
"depth 420 ft",1
"depth 440ft.",1
"depth 500ft",1
"depth 500ft; Laramie County, WY",1
"depth 50ft",1
"depth 560 ft",1
"depth 60ft",1
"depth 60ft.",1
"depth 73.5 ft",1
"depth 798ft",1
"depth 88ft.",1
"depth 98ft.;",1
"depths 310ft",1
"don't drink water but want to know if they can",1
"dpeth 100ft ;",1
"drinking water is filtered",1
"efkrwg@outlook.com also given as email",1
"email address on reg sheet has no ""@';treatment system ""hydronix filter sediment depth filter, SPC-45-2020""; depth 78ft",1
"email hard to read, copied into database to best ability.
R) Wrote ""0-native deer, elk, etc"" in registration form, put down as ""0"" in the database.",1
"email somewhat difficult to read",1
"email wirtten in all caps, even ""gmail"", person wrote in all caps so the email may just be lenny13517@gmail.com",1
"estimated well depth based on nearby wells",1
"farm homesite use for property size;",1
"fish hatchery",1
"fish hatchery tested in 2017 well is 760 ft deep",1
"gps data updated by MSU employee",1
"gps data updated by msu employee; depth 110ft",1
"hard to read email",1
"house on ""community septic""",1
"house spicket written at top",1
"incomplete twp data, had google earth data Updated by MSU employee; depth "">30ft""",1
"incomplete twp data; depth 245ft",1
"incomplete twp data; depth 37ft",1
"incomplete twp data; depth 796ft; previous well ed testing year not specified",1
"incomplete twp data; livestock operation without livestock count; depth 200ft.; home is 2 miles from well",1
"incomplete twp data; primary drinking source ""yes after RO system""; depth 100ft.",1
"k) Used township, section, range",3
"k) Used township, section, range n)not sure if correct GWIC ID",1
"kitchen sink; 70 ft well depth",1
"kwichman@mt.gov",1
"land use ""hay""; treated with ""deionizer to remove iron and algae""; depth 110ft;",1
"land use ""native plant nursery""; previous well ed testing in 2019; depth 102ft",1
"land use also selected other; water use other ""spray water""; deoth 30ft",1
"land use also tree farm/forest
google earth image attached",1
"land use checked and other and residential with hay field written; approx 30 ft well depth",1
"land use checked livestock and other with ""water is used in a restaurant located on the ranch property"" written; livestock head 1000+; well depth 65 ft",1
"land use checked other and ranchette written; well depth written as plus or minus 350 ft",1
"land use checked other and recreation written
well depth 26 ft",1
"land use checked other and veterinary clinic written in blank; well depth 70 ft",1
"land use other commercial",1
"land use other: secondary use",1
"land use: plant nursery
montana well test program previously in 2021",1
"last name was misspelled as beummer, name is brummer",1
"legal description coordinate check not completed for Q4",1
"livestock 4-8",1
"livestock 50 cows; 85 ft well depth; septic system checked no and not yet written",1
"livestock head ranges from 6-75",1
"livestock head written none
sample treated both sample is untreated and do not have a treatment system checked
200 ft well depth",1
"livestock number ""50-seasonal"" 140ft well depth",1
"livestock number ""wildlife"" written in; well depth 55 ft; sample treated both sample is untreated and do not have a treatment system checked; house on septic checked yes and no with grey H2O only compost toilets written in",1
"livestock number 100 head
currently treat checked no and do not drink written
montana well test program previously checked yes and year 2020 written",1
"livestock number 3 horses; well depth 200 ft",1
"livestock number 30 cows; 2 samples total this one is untreated; participant used same reg sheet for both samples so some answers are funky",1
"livestock number 30-100 range given
water quality tested previously checked no and not well written
age of home no data but not well written",1
"livestock number blank written as none
200 ft well depth",1
"livestock number is 3-400",1
"livestock number is 80 sheep
75 ft well depth",1
"livestock number not filled out and ""N/A but livestock across the road"" written",1
"livestock number written 0 hay only; currently treat well water checked no and well not used as drinking written",1
"livestock number written as 1 so far
110 ft well depth",1
"livestock number written as 10 chickens but these do not get counted 
40 ft well depth",1
"livestock number written as none
montana well test program previously checked yes and year 2020 written
100 ft well depth",1
"livestock number written as seasonally a few hundred, close
age of home checked more than 30 and 100 plus year house written
septic pumped ever checked yes and regularly recently, around every 2 months written",1
"livestock varies",1
"livetock number 100 head
primary drinking source checked no and old owner did written
montana well test program previously checked yes and year 2020 written",1
"location of well N 45 degrees (35'23.74) W 10 degrees (35'1.16); montana well test program previously checked yes and year 2002 written; 30 ft well depth",1
"location of well S07 T31 N1209 WLT4 W2SE4SW4 written, difficult to read
land classification checked rural and ranch written
livestock number written as 10 horses
sample treated both sample is untreated and do not have a treatment system checked
well d",1
"location of well confirmed by CM at GLWQD; they wrote a ? Next to year for testing with well ed before; 168 ft well depth",1
"location of well coordinate check not complete",1
"location of well coordinates checked by ""CM at GLWQD"" well depth 52 ft",1
"location of well has ""getlatlong.net"" written in; tested previously checked no and ""we haven't, just bought house 2/2020;"" well depth 27 ft; familiarity nothing checked but ""know quite a bit from having well for 20 years previously, but maybe some we don'",1
"location of well has 01N 05E 7 D written
30 ft well depth",1
"location of well muliple coordinates provided- the one entered and 46.807015 105.342004 with ""montana well log"" written
township 12N section 8 range 51E
GWIC ID has 2 written, 24638 and 24637
livestock number written as 0 to 50 depending on time of year s",1
"location of well township 07S section 28 range 20E and geocode 10-0356-28-1-04-02-0000 written",1
"location of well township 12N section 16 range 51E",1
"location of well township 22N section 28 range 52E
treated with both water softener and reverse osmosis checked
175 ft well depth",1
"location of well township 75 section 21 range 55E
480 ft well depth",1
"location of well township 7N section 35 range 25E
land use residential, farm, and other checked. Tree farm written
305 ft well depth",1
"mail and phystical city not included, krs entered
water quality tested previously checked not sure and purchased house this year written",1
"mailing address ""give to rick degenhart billings machine and welding"" with no other address information; mt well test program previously nothing checked but 2012 written in blank; 25 ft well depth",1
"mailing address and physical address city and state not included on reg sheet, krs looked up and entered; well depth 24 ft",1
"mailing address had c/o Bashkirew written; unable to locate GWIC writen; land use residential and other checked with recreational written; treated with checked other and ""filter, not sure if carbon"" written",1
"map method ""ONX""; treated with Carbon as well; depth 35ft.",1
"map method has well log written in
livestock number written as 0 and deer and antelope-free
120 ft well depth",1
"map method is well log",1
"map method is well log report",1
"map method well log
Treated with CU Mn as Filter",1
"map results question not answered and doesn't matter written
well depth has 93-100 ft written",1
"maybe 60 ft well",1
"method used to find coordinates has onX Hunt written
primary drinking source checked yes with ""livestock"" written next to it and checked no with ""not household tho"" written beside it
well depth 290 ft",1
"montana well test program previously checked yes and year 2017 written
well depth written as 30? Ft",1
"montana well test program previously checked yes and year 2019 written
well depth checked not sure and 100 ft written",1
"montana well test program previously checked yes and year 2020 written
160 ft well depth",1
"montana well test program previously checked yes and year 2020 written
260 ft well depth",1
"montanawelltestpreviously in 2020",1
"most of reg sheet left blank",1
"multiple samples yes and 2 other sample from well written
livestock is 2 horses
primary drinking source nothing checked and not a well, a pond written
tested before pond written
age of well nothing checked and pond written",1
"multiple sets of samples checked yes and 2 different water sources written
physical address of well has ""west side of property"" written beside address",1
"multiple sets of samples checked yes and 2 from 2 water sources written
30 ft well depth",1
"multiple tests checked yes and 2 pond and well written
livestock is 2 horses
treated with checked particulate and ""rope type particle filter"" or something similar written, hard to read -krs
150ft well depth",1
"new house & septic",1
"new septic",1
"new well",1
"next to depth of well, says ""water is a 30 ft""",1
"next to primary drinking source, says ""we will if it tests safe to use""",1
"next to septic, says ""new to home 73 months",1
"next to submitting samples they wrote 1 set and initialed; primary drinking source checked no and ""not now"" written; well depth 26 ft",1
"no DVD question",1
"no county in reg sheet, krs looked up and entered
700 ft well depth",1
"no county listed on reg sheet, krs entered
18 ft well depth",1
"no county listed on reg sheet, krs entered
land use residential and other checked with occasionally rent pasture to neighbors for cows written
livestock number has none at this time written
montana well test program previously checked yes and year 2018",1
"no county on reg sheet, krs entered
420 ft well depth",1
"no county written on reg sheet, krs entered",1
"no county written on reg sheet, krs entered
primary drinking source nothing checked and cows written in",1
"no data on back of form (no price)",1
"none written in blank treated with question; 100ft well depth",1
"not a well but a spring, depth of well source is not a well checked and ""seep spring"" written",1
"note ""water softener is not working, sample may not indicate it is treated"";",1
"note that says ""but we want to use it for drinking water source""",1
"note that says ""maybe"" next to household use for water",1
"note that says ""municipal H20""",1
"note written in physical address box: wonder water after filtration
some sort of squiggle in a few categories, but can't read it, so put into database as no data (no other boxes are checked off in these categories).
X) Other: filtation device",1
"other land use ""meat shop""",1
"other treatment ""NA""",1
"participant considering using as primary drinking source;",1
"pervious well ed testing in 2020",1
"phone number has 406-866-3340 x6 written
land use checked other and commercial written in blank",1
"phone number seems incorrect, but was copied down into the database the way it was written on the registration sheet
X) Treated with water softener and reverse osmosis",1
"phone numbers are 307-338-8771 and -8727",1
"phone numbers: Todd - 406-941-3578, Kaylen - 406-579-6070FF) Note: <1 year old",1
"physical address city not writte, krs entered; township 7N section 34 range 40E; livestock number 4 horses; well depth 240 ft",1
"physical address not provided, ""City of Baker"" written with zip 59313",1
"physical address of well written as 215 Tamphrey Creek (cabin 12 well shared with lot 11) and no city or zip provided; next to phone number (cabin #) written beside it; land use checked other and forest service land recreational use written; well depth ch",1
"physical address of well written as Rockvale and nothing else included; well depth 35 ft",1
"physical city not included on reg sheet",1
"physical city not included on reg sheet, ks looked up and entered
land use checked other and ""slaughter, animal"" written",1
"physical street address provided and (Potomac) written, krs excluded from form entry but included in note
physical zip not on reg sheet, krs looked up and entered
location of well township 13 section 24 range no data",1
"physical street not on reg sheet
well depth 80 ft",1
"predominant land use also says ""(5 acre) field is cut for grass and flood irrigated. Hay""",1
"predominant land use also says ""5 acre field is grass hay""
bottle order sheet attached",1
"predominant land use checked other and grassland written; 50 ft well depth",1
"previous well ed testing in 2011; depth 100ft",1
"previous well ed testing in 2015;",1
"previous well ed testing in 2016 or 2017",1
"previous well ed testing in 2019 or 2020",1
"previous well ed testing in 2020",1
"previous well ed testing in 2021; depth 60ft",1
"previous well ed testing year not specified",1
"previous well ed testing year not specified;",1
"previous well ed testing year not specified; depth 15 ft",1
"previously tested 2017",1
"previously tested 2018 & FF) New Oct 2018",1
"primary drinking source checked no and buy bottled and showers, teeth, laundry yes written; do you treat before drinking checked no and don't drink it written
well depth 350 ft",1
"primary drinking source checked no and drinking bottled water now written
treated with other checked and activated carbon written
currently treat drinking water checked yes and not drinking at this time written
well depth checked not sure and 20 ft and",1
"primary drinking source checked no and not yet waiting for results written
currently treat drinking water nothing checked and N/A written in
well depth 28 ft
house on septic checked no and new written",1
"primary drinking source checked yes and we will depending on results written; well depth 540 ft; septic ever pumped checked no and new septic written",1
"primary drinking source nothing checked and not yet written; treated with checked other and metals written; septic not operational yet",1
"primary use of well they underlined garden water in household and garden water, checked that box and livestock",1
"property size has ""not a well-underground stream"" written; primary drinking source checked no and would like to written; septic ever pumped no data but holding tank written""",1
"pump septic every 2-4 years
note about EPA standards attached to top of form",1
"rburt@mt.gov provided as second email
next to depth of well, says cistern",1
"reg sheet has wrong county written; previous well ed testing year not specified; depth 500ft",1
"rnemec@mt.gov",1
"sample also treated with ""anti iron""   well is 81 ft deep",1
"sample treated before testing had both sample is untreated and do not have a treatment system checked
44 ft depth of well",1
"sample treated with unchecked and hot water filter written in other blank",1
"sample untreated and no treatment system checked; well depth 355 ft",1
"says ""same as above"" next to email address:",1
"says ""we are new owners"" next to septic",1
"septic brand new",1
"septic ever pumped both no and no septic checked",2
"septic is brand new",1
"septic is new",1
"septic pumped previously in 10/2018",1
"septic system section has not saying ""not sure 5+ years or more""",1
"set up for running (water) to livestock and we will possible in the future. We just had the well dig and haven't sealed our old well yet.",1
"share with county both yes and no checked; inactive wells sealed both no and not sure checked",1
"shock L3a written at top of page
water quality tested previously checked no and not well written",1
"small tract livestock 6 horses 1 goat",1
"source is a spring; also treated with RO; previous owner name on reg sheet "" Ray Worklert""",1
"spring water",2
"tested previously in 2016 for arsenic",1
"tested previously in 2019",1
"tested with MT well educated 2018",2
"tested with MT well educated 2021",1
"the sample is ditch water
""comparing water in ditch to nearby water in well""",1
"township 02 section 15; well depth 40 ft",1
"township 02S section 29 range 33E
livestock number written as N/A
montana well test program previously checked no and maybe 1990?, not sure written
25 ft well depth",1
"township 02S section 29 range 33E
livestock number written as N/A
well depth 28 ft",1
"township 03N section 34 range 28E; well depth 19 ft",1
"township 04S section 21 range 23E; map method GPS nav; 80 ft well depth; septic checked yes and it's new septic written",1
"township 058 section 28 range 101",1
"township 05S section 34 range 17E
livestock number has none currently written
250 ft well depth",1
"township 06N section 11 range 20W; well depth 137 ft",1
"township 06N section 11 range 25E
390 ft well depth",1
"township 107S section 02 range 20E, not enough info to do coordinate check; well depth 40ft",1
"township 10N section 18 range 01W
sample treated had both untreated and do not have a treatment system checked
montana well test program previously checked yes and year 2017 written
180 ft well depth",1
"township 10N section 25 range 20W; livestock number and treated with have none written in blanks; well depth 131 ft",1
"township 10N section 8; well depth 61 ft",1
"township 12N section 16 range 51E",3
"township 12N section 31 range 3W
inactive wells nothing checked and no inactive wells written
currently treat not checked and have water softener system written
287 ft well depth",1
"township 12S section 22 range 5E; well depth 40 ft",1
"township 14 section 06 range 53; livetock number is 170 head 5-6 weeks per year; well depth 260 ft",1
"township 14N section 11 range 09W; well depth 40 ft",1
"township 14N section 6 range 53E; well depth 260 ft",1
"township 15 north section east one half of section 3 range 3 west",1
"township 17N section 16 range S1E",1
"township 1N section 24 range 5W
210 ft well depth
house on septic checked yes and new written",1
"township 1N section 3 range 27E",1
"township 1N section 33 range 4E; well depth 62 ft",1
"township 21N section 29 range 19W; 340 ft well depth",1
"township 22N section 2 range 02W; well depth 15 ft",1
"township 22N section 24 range 2E
well depth 15 ft",1
"township 2N section 09 range 28E; well depth 36 ft",1
"township 2N section 16 range 28E; 35 ft well depth",1
"township 2N section 32 range 4W; 260 ft well depth",1
"township 2N section 35 range 4E; 260 ft well depth",1
"township 2S section 36 range 21E
livestock number is 3 horses
well depth 30 ft",1
"township 33E29N section 15; well depth 14 ft",1
"township 33N section 17 range 6W",1
"township 33N section 7 range 7W; map method has cell phone written; land use checked other and processing plant written; currently treat checked yes and reverse osmosis written; 108 ft well depth",1
"township 34N section 46E; well depth 35 ft",1
"township 3N section 21 range 15E",1
"township 3N section 32 range 15E; age of home unsure written",1
"township 3S section 10; GWIC id checked yes and ""can't find on GWIC' written",1
"township 40 section 02N range 21W; montana well test previously checked yes and year 2016 written; well depth 65 ft",1
"township 45 section 34 range 1W; water softener and RO checked; montana well test previously checked yes and year 2018 and 2019 written; 102 ft well depth",1
"township 45 section 8 range 17E",1
"township 4S section 51E range 36",1
"township 5N section 12 range 07E
160ft well depth",1
"township 6N section 24 range R21; well depth 23 ft",1
"township 75 section 32; montana well test previously checked yes and year 2016 written; 148 ft well depth",1
"township 7N section 26 range 55E",1
"township 7S section 17 range 20E; 90 ft well depth",1
"township 8S section 8 range 20E; 28 ft well depth",2
"township 9N section 12 range 31E; 210 ft well depth",1
"township 9S section 10 range 21E; land use checked other and open range written; livestock number ""intermittent"" written",1
"township03S section 5 range 23E; well depth 20 ft",1
"treated with ""carbon UR'",1
"treated with RO",1
"treated with carbon and a filter",1
"treated with checked other and filter (40 micron?) written
10 ft well depth",1
"treated with checked other and sand filter written; well depth 240 ft",1
"treated with has water softener, particulate, reverse osmosis, and carbon checked and iron filter written in blank
450 ft well depth",1
"treated with nothing checked and bleach written in blank",1
"treated with nothing checked but iron written; 100ft well depth",1
"treated with particulate and water softener",1
"treated with water softener and carbon",1
"treated with water softener and particulate checked and iron filter written in other blank
450 ft well depth",1
"two emails given: tjkoessl@krlaserworks.com and tjkoessl@k2laserworks.com",1
"two phone numbers given: 406-850-3110 / 406-672-9867   25.5 ft well",1
"twp data incomplete; treatment ""distillation""; depth 60ft.",1
"twp data: 1/4 SE 1/4 NW Twp 11N Range 2W; depth ""approx"" 172ft.;GPS Data updated by MSU employee;",1
"twp data: twp 25 sectond 21 range 51E; previous well ed testing in 2017",1
"unsure of testing cost; possibly $50",1
"waiting on H2) sample before building septic",1
"water is treated with water softner and carbon",1
"water treated with bleach",1
"water treated with water softner and carbon",1
"well depth 130 ft",1
"well depth 165 ft",1
"well depth 18 ft",1
"well depth 19 ft",1
"well depth 190 ft",1
"well depth 199 ft",1
"well depth 200 ft",1
"well depth 207 ft",1
"well depth 23 ft",1
"well depth 25 feet",1
"well depth 30 ft",1
"well depth 32 ft",1
"well depth 37 ft",1
"well depth 37.5 ft",1
"well depth 40 ft",1
"well depth 420 ft",1
"well depth 50 ft",1
"well depth 52 ft",1
"well depth 700 ft",1
"well depth 80 ft",1
"well depth 90 ft",1
"well depth around 100 ft",1
"well depth not sure checked and 280 ? Ft written",1
"well depth written as 470 ft perforated",1
"well ed testing every year; depth 60ft.",1
"well in idaho",1
"well is on rented lot and shared",1
"well log attached",2
"well tested with us in 2016",1
"well use for ""H2A Housing Reqs""; treated with other ""N/A""",1
"would like to use as drinking water source",1
"wrote ""carbon filter"" under water treatment;",1
"wrote 'GLWQD' by part L",1
"wrote 'rural' on part Q",1
"wrote a dash on part R",1
"x) Other: Zero water",1
"x) Other: nothing",1
"x) SampleTreatedWith: ""NA"" written in blank next to UNchecked ""Other"" box; y) CurrentlyTreatingDrinkingWater: ""Sample from well head sigot"" written next to Unchecked ""No"" box; FF) SepticEverPumped: ""HOA pumps every 3 years"" written below boxes",1
"x) water softener and particulate 15 ft well",1
"x)iron removal treatment",1
"zip not on reg sheet, krs entered",1
"~138 ft well depth",1
"~150 ft well. Treatment: ""Citrus""",1
"~180 ft well depth",1
"~26 ft well. Would like to use water as primary drinking source. Septic not in service yet",1
"~28 ft well",1
"~280 ft well",2
"~30 ft well",1
"~400 ft well",1
"~40ft well depth",1
"~47 ft well",1
"~60 ft well. Uses household filter.",1
"~90 ft well. Put ""TR 1, A 2-B, COS 893 AM"" for legal descrip",1
